"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,20,"Plug-in: External same-X recalibrated",0.0611003797586857,0.0570926562306611,0.105062685521802,0.908608456163045
"transported",0.01,20,"Augmented: External BISG-like",0.059507281586078,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,20,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,21,"IPW",0.0420031850268171,0.0570926562306611,NA,NA
"transported",0.01,21,"Augmented: Target-audit same-X",0.0522310508747262,0.0570926562306611,0.135296093443266,0.868293531871998
"transported",0.01,21,"Plug-in: Target-audit same-X",0.0535132789984883,0.0570926562306611,0.135296093443266,0.868293531871998
"transported",0.01,21,"Augmented: External same-X",0.0510500880509204,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,21,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,21,"Augmented: External same-X distorted",0.049893640516339,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,21,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,21,"Augmented: External same-X recalibrated",0.0489344371906559,0.0570926562306611,0.106422287369606,0.908501537518047
"transported",0.01,21,"Plug-in: External same-X recalibrated",0.0589410894012185,0.0570926562306611,0.106422287369606,0.908501537518047
"transported",0.01,21,"Augmented: External BISG-like",0.0507617088173686,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,21,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,22,"IPW",0.0356068237669411,0.0570926562306611,NA,NA
"transported",0.01,22,"Augmented: Target-audit same-X",0.0492593254798057,0.0570926562306611,0.12183645652868,0.880140785009416
"transported",0.01,22,"Plug-in: Target-audit same-X",0.0490241381814451,0.0570926562306611,0.12183645652868,0.880140785009416
"transported",0.01,22,"Augmented: External same-X",0.0483583118263242,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,22,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,22,"Augmented: External same-X distorted",0.0486042429594525,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,22,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,22,"Augmented: External same-X recalibrated",0.0463662776814105,0.0570926562306611,0.105059980933289,0.907365779081561
"transported",0.01,22,"Plug-in: External same-X recalibrated",0.0523889620797345,0.0570926562306611,0.105059980933289,0.907365779081561
"transported",0.01,22,"Augmented: External BISG-like",0.0447883284203233,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,22,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,23,"IPW",0.0448977282041682,0.0570926562306611,NA,NA
"transported",0.01,23,"Augmented: Target-audit same-X",0.0565077536935963,0.0570926562306611,0.122275624859215,0.885876993590468
"transported",0.01,23,"Plug-in: Target-audit same-X",0.0572175489986475,0.0570926562306611,0.122275624859215,0.885876993590468
