"scenario","audit_rate","method","n_rep","mean_estimate","true_moment","bias","sd","rmse","mean_brier","mean_auc"
"feature_shift",0.01,"Plug-in: Target-audit same-X",100,0.00692208705334366,0.0078856042776328,-0.000963517224289137,0.00787721475721723,0.00789673177013817,0.162339663575575,0.842357928189221
"prior_shift",0.01,"Plug-in: Target-audit same-X",100,0.0680566639751662,0.0678071585649271,0.000249505410239053,0.00741524523570177,0.00738229342659044,0.137116295967398,0.887367732560038
"transported",0.01,"Plug-in: Target-audit same-X",100,0.0558130650416102,0.0570926562306611,-0.00127959118905093,0.00780332622640166,0.00786894750298846,0.123107584298533,0.883304459997219
"feature_shift",0.02,"Plug-in: Target-audit same-X",100,0.00892341810461922,0.0078856042776328,0.00103781382698642,0.0064789443498779,0.00652947243117014,0.152087521232531,0.855610443550024
"prior_shift",0.02,"Plug-in: Target-audit same-X",100,0.068392143546529,0.0678071585649271,0.000584984981601826,0.00502774463815551,0.00503662996593318,0.127531945879205,0.897539895239401
"transported",0.02,"Plug-in: Target-audit same-X",100,0.05721863678348,0.0570926562306611,0.000125980552818865,0.00479062895316117,0.00476828015209739,0.111634976701105,0.89755971150277
"feature_shift",0.05,"Plug-in: Target-audit same-X",100,0.00893505558166178,0.0078856042776328,0.00104945130402898,0.00382749826090874,0.00395026499711284,0.146336453858858,0.862996968577643
"prior_shift",0.05,"Plug-in: Target-audit same-X",100,0.0677855864220448,0.0678071585649271,-2.15721428823132e-05,0.00332857447033672,0.00331196003627461,0.121954870472986,0.903777104192383
"transported",0.05,"Plug-in: Target-audit same-X",100,0.0568398039999488,0.0570926562306611,-0.000252852230712382,0.00356127403782769,0.00355243301067827,0.106557063710009,0.904357941898329
"feature_shift",0.1,"Plug-in: Target-audit same-X",100,0.00779499348148206,0.0078856042776328,-9.06107961507424e-05,0.00258934118274449,0.00257795484821383,0.144753824687549,0.865081581327136
"prior_shift",0.1,"Plug-in: Target-audit same-X",100,0.0676862440077059,0.0678071585649271,-0.000120914557221247,0.00208095850510279,0.0020740551456285,0.120241967606134,0.905643052426018
"transported",0.1,"Plug-in: Target-audit same-X",100,0.0570720730449438,0.0570926562306611,-2.05831857173152e-05,0.00192424634821692,0.00191471158038859,0.104686842630707,0.907054728845626
"feature_shift",0.2,"Plug-in: Target-audit same-X",100,0.00787906540086944,0.0078856042776328,-6.53887676336121e-06,0.00199664389737702,0.00198664635537202,0.143976042867797,0.866177717542396
