"audit_rate","replicate","method","path_type","lambda","selected","audited_train_n","audited_validation_n","training_estimated_moment","validation_estimated_moment","converged","gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,1,"IPW","exact",10000,FALSE,175,57,1.66472356380729e-05,0.0233699624894843,TRUE,3.45843222127824e-05,0.460472026028675,0.740332056070858,0.807461692205197,0.0232415309808763,0.0162342063494388,0.0232415309808763,0.0162342063494388,0.0182034178371092,0.00908911248001265,0.0182034178371092,0.00908911248001265
0.01,1,"Augmented","exact",0,FALSE,175,57,0.00302603078049144,0.022785185436652,TRUE,1.05052121372752e-13,0.459985191766892,0.739071040888486,0.810293137908061,0.02254500432315,0.0156520704595693,0.02254500432315,0.0156520704595693,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",0.001,FALSE,175,57,0.00302602035110157,0.0227851798117999,TRUE,1.47259917853955e-07,0.459985190676333,0.739071040888486,0.810293137908061,0.0225449970383567,0.0156520653279856,0.0225449970383567,0.0156520653279856,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",0.00316227766016838,FALSE,175,57,0.00302599606348331,0.0227851690044487,TRUE,4.18126297162586e-07,0.459985187051764,0.739071040888486,0.810293137908061,0.022544981957231,0.0156520550377977,0.022544981957231,0.0156520550377977,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",0.01,FALSE,175,57,0.0030259174132643,0.0227851331015446,TRUE,1.31292795143549e-06,0.45998517609545,0.739071523481361,0.810293137908061,0.0225449322153262,0.0156520208664694,0.0225449322153262,0.0156520208664694,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",0.0316227766016838,FALSE,175,57,0.00302566998605598,0.0227850203223128,TRUE,4.13633238934418e-06,0.459985141588147,0.739072810395694,0.810293137908061,0.0225447758841435,0.0156519134960216,0.0225447758841435,0.0156519134960216,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",0.1,FALSE,175,57,0.00302488775228794,0.0227846635380414,TRUE,1.30674753755817e-05,0.459985032774683,0.739074419038611,0.810293137908061,0.0225442814738117,0.0156515738916281,0.0225442814738117,0.0156515738916281,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",0.316227766016838,FALSE,175,57,0.00301399943968204,0.0227850189289141,TRUE,1.25511126627763e-05,0.459982818632061,0.739079405831652,0.810293137908061,0.0225416204446477,0.0156502659049487,0.0225416204446477,0.0156502659049487,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Augmented","exact",1,FALSE,175,57,0.0029811373712123,0.0227900300311014,TRUE,1.41996322810371e-05,0.459976252760555,0.739095331396527,0.810459693537642,0.0225353459944704,0.0156464806495905,0.0225353459944704,0.0156464806495905,0.0210930701105938,0.00706357858231177,0.0210930701105938,0.00706357858231177
0.01,1,"Augmented","exact",3.16227766016838,FALSE,175,57,0.00288700952521311,0.0228004533824949,TRUE,1.2167696711655e-05,0.459960088390867,0.739125734747652,0.810293137908061,0.0225185880375576,0.0156400772792222,0.0225185880375576,0.0156400772792222,0.0208172080416283,0.00671526788917343,0.0208172080416283,0.00671526788917343
