"audit_rate","replicate","method","path_type","lambda","audited_train_n","audited_validation_n","selection_estimated_moment","selection_baseline_moment","selection_target_moment","selection_feasible","validation_estimated_moment","selected_converged","selected_gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.02,2,"Unconstrained","exact",0,382,124,4.37946457373148e-05,4.37946457373148e-05,4.37946457373148e-05,TRUE,0.000168593937398202,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.02,2,"Oracle","exact",1000,382,124,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.02,2,"SoftProxy","exact",316.227766016838,382,124,1.71449007235983e-05,4.37946457372384e-05,2.18973228686192e-05,TRUE,0.000196303971223479,TRUE,9.60330969537294e-06,0.459982457396956,0.739085036081861,0.810459693537642,0.0225736377660634,0.0156754281324909,0.0225736377660634,0.0156754281324909,0.0205413459726628,0.00671526788917332,0.0205413459726628,0.00671526788917332
0.02,2,"IPW","exact",100,382,124,0.00164485555780618,0.00372046992210871,0.00186023496105436,TRUE,0.00137759557739289,TRUE,1.08196141675608e-05,0.460181179524728,0.739215657886694,0.810959360426382,0.0215844082717251,0.0149341515329007,0.0215844082717251,0.0149341515329007,0.021631691090142,0.00790219018459304,0.021631691090142,0.00790219018459304
0.02,2,"Augmented","exact",316.227766016838,382,124,0.000398362455653034,0.00144841433627086,0.000724207168135428,TRUE,0.000524250656793616,TRUE,8.65352445594579e-06,0.460080100951981,0.739144716734069,0.810626249167222,0.0218189796347296,0.0150892493105341,0.0218189796347296,0.0150892493105341,0.0198320360626746,0.00685725810517823,0.0198320360626746,0.00685725810517823
0.02,2,"AugmentedMisspecified","exact",316.227766016838,382,124,0.000380960505536669,0.00129443528111623,0.000647217640558116,TRUE,0.000515996149230473,TRUE,1.14798126798778e-05,0.460023171943047,0.739019403450861,0.810792804796802,0.0216853403660633,0.0149287788199804,0.0216853403660633,0.0149287788199804,0.0210930701105938,0.00741188927545,0.0210930701105938,0.00741188927545
0.02,3,"Unconstrained","exact",0,373,130,0.00700381290601777,0.00700381290601777,0.00700381290601777,TRUE,0.00708862676994184,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.02,3,"Oracle","exact",1000,373,130,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.02,3,"SoftProxy","exact",316.227766016838,373,130,0.00285835272024458,0.00700381290601784,0.00350190645300892,TRUE,0.00291641620082776,TRUE,6.35573899695131e-06,0.460769366397385,0.734806528516413,0.807295136575616,0.0153831763257476,0.00901018976084278,0.0153831763257476,0.00901018976084278,0.0176123842240294,0.00666426732179215,0.0176123842240294,0.00666426732179215
0.02,3,"IPW","exact",100,373,130,0.00129359789807119,0.00329734399143442,0.00164867199571721,TRUE,0.000896596505306997,TRUE,1.2554923854331e-05,0.459880414283166,0.738649737308612,0.811292471685543,0.0220768831606053,0.0152060761466124,0.0220768831606053,0.0152060761466124,0.0197137597657666,0.00525769485549155,0.0197137597657666,0.00525769485549155
0.02,3,"Augmented","exact",316.227766016838,373,130,0.00227215802733475,0.00811845452689402,0.00405922726344701,TRUE,0.0166337659971657,TRUE,1.51328018957923e-05,0.462137735335885,0.731914671145129,0.806129247168554,0.0161824141108556,0.00995380888618413,0.0161824141108556,0.00995380888618413,0.0196879013204623,0.00721889849206381,0.0196879013204623,0.00721889849206381
0.02,3,"AugmentedMisspecified","exact",316.227766016838,373,130,0.00213273670873432,0.00827187439704417,0.00413593719852209,TRUE,0.015744493363807,TRUE,1.23840984090346e-05,0.462298140125135,0.732127816331586,0.807794803464357,0.0167814861393428,0.0106290546684179,0.0167814861393428,0.0106290546684179,0.0193068661129708,0.00652227710578712,0.0193068661129708,0.00652227710578712
0.05,1,"Unconstrained","exact",0,884,295,0.00225859392308173,0.00225859392308173,0.00225859392308173,TRUE,0.00227356751732369,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.05,1,"Oracle","exact",1000,884,295,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.05,1,"SoftProxy","exact",1000,884,295,0.000563903641018228,0.00225859392308193,0.00112929696154097,TRUE,0.000598153680250359,TRUE,1.16465829864783e-05,0.460432139549918,0.739724632505526,0.807961359093937,0.0182332788484526,0.0114883880790307,0.0182332788484526,0.0114883880790307,0.0145251409604154,0.00421276277607663,0.0145251409604154,0.00421276277607663
0.05,1,"IPW","exact",316.227766016838,884,295,0.000476619912840092,0.00129001956177979,0.000645009780889895,TRUE,0.0133271565529595,TRUE,1.37397011715944e-05,0.460110221840163,0.738423883843112,0.810792804796802,0.0229764864820655,0.0161541317205136,0.0229764864820655,0.0161541317205136,0.0229189314548273,0.0090757827862652,0.0229189314548273,0.0090757827862652
0.05,1,"Augmented","exact",316.227766016838,884,295,0.000931758882903896,0.00234440854228707,0.00117220427114353,TRUE,0.0086911028469124,TRUE,1.35904335169367e-05,0.460048376811719,0.739537547334318,0.810459693537642,0.0199528640734987,0.0131553468814722,0.0199528640734987,0.0131553468814722,0.0167713469872887,0.00380012182180989,0.0167713469872887,0.00380012182180989
0.05,1,"AugmentedMisspecified","exact",316.227766016838,884,295,0.000671126939561744,0.00164876068922608,0.000824380344613042,TRUE,0.00800012051093074,TRUE,1.09375620356868e-05,0.459937078818659,0.739498939904318,0.810459693537642,0.0207208860724846,0.0139087177867042,0.0207208860724846,0.0139087177867042,0.0181637604904988,0.00470306368521989,0.0181637604904988,0.00470306368521989
0.05,2,"Unconstrained","exact",0,898,303,0.00547092717299917,0.00547092717299917,0.00547092717299917,TRUE,0.00566185264335496,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.05,2,"Oracle","exact",1000,898,303,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.05,2,"SoftProxy","exact",1000,898,303,0.00152098184898906,0.00547092717299925,0.00273546358649962,TRUE,0.00169083250849835,TRUE,1.24987932885639e-05,0.462221076916084,0.735477010884078,0.801965356429047,0.0118870768891651,0.00591978489889999,0.0118870768891651,0.00591978489889999,0.0164041106811036,0.00736088870806872,0.0164041106811036,0.00736088870806872
0.05,2,"IPW","exact",316.227766016838,898,303,0.000550437378114853,0.00188654799617191,0.000943273998085954,TRUE,0.00220714558014041,TRUE,1.31347310228316e-05,0.460011529742151,0.739773696114484,0.80962691538974,0.0208385739817755,0.0141758200238861,0.0208385739817755,0.0141758200238861,0.0198320360626745,0.00671526788917343,0.0198320360626745,0.00671526788917343
0.05,2,"Augmented","exact",316.227766016838,898,303,0.00266506861711601,0.00601094135896675,0.00300547067948338,TRUE,0.00702241323093673,TRUE,1.366243726732e-05,0.460638057537457,0.736601452282825,0.807628247834777,0.0154453094294629,0.00937059302116983,0.0154453094294629,0.00937059302116983,0.0156944528996538,0.00763153944633077,0.0156944528996538,0.00763153944633077
0.05,2,"AugmentedMisspecified","exact",316.227766016838,898,303,0.00220607732971905,0.00482497585367405,0.00241248792683702,TRUE,0.00555509701725196,TRUE,1.21639856630122e-05,0.460054293002981,0.738128054410738,0.810293137908061,0.0164781505112509,0.0101873154927017,0.0164781505112509,0.0101873154927017,0.0172837616500702,0.00839249109373608,0.0172837616500702,0.00839249109373608
0.05,3,"Unconstrained","exact",0,886,273,0.00104853070645833,0.00104853070645833,0.00104853070645833,TRUE,0.00181801051195931,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.05,3,"Oracle","exact",1000,886,273,0.0015244494976099,0.00529178061490764,0.00264589030745382,TRUE,0.00274413819293694,TRUE,1.2719592279585e-05,0.463023210000175,0.736152319180493,0.801798800799467,0.00947083663580917,0.00346286875802315,0.00947083663580917,0.00346286875802315,0.0106896261831253,0.00101363627670348,0.0106896261831253,0.00101363627670348
0.05,3,"SoftProxy","exact",316.227766016838,886,273,0.000499588446987696,0.00104853070645845,0.000524265353229227,TRUE,0.00126338220493351,TRUE,7.03329493552028e-06,0.460059170451703,0.739486231625276,0.811459027315123,0.0217976970392098,0.0148852002547905,0.0217976970392098,0.0148852002547905,0.0219337594758733,0.00776019996858823,0.0219337594758733,0.00776019996858823
0.05,3,"IPW","exact",316.227766016838,886,273,8.82589452552964e-05,0.00025433016897921,0.000127165084489605,TRUE,0.00853629378802842,TRUE,1.16400113771183e-05,0.459989772351999,0.738867225830945,0.810459693537642,0.0226799588832377,0.0157771489023285,0.0226799588832377,0.0157771489023285,0.0210930701105938,0.00796652044572188,0.0210930701105938,0.00796652044572188
0.05,3,"Augmented","exact",316.227766016838,886,273,0.000297712345756837,0.000736444529947725,0.000368222264973863,TRUE,0.0057150915162024,TRUE,1.58050591391843e-05,0.460049134949827,0.739328423755152,0.810792804796802,0.022150397323874,0.0152407717633364,0.022150397323874,0.0152407717633364,0.0222227247032218,0.00817284092285531,0.0222227247032218,0.00817284092285531
